papel;cotacao;pl;pvp;psr;dy;pa;pcg;pebit;pacl;evebit;evebitda;mrgebit;mrgliq;roic;roe;liqc;liq2m;patrliq;divbpatr;c5y
CEEB5;36.09;6.04;1.6;0.677;0.1752;0.369;-27.03;2.79;-0.66;6.36;5.18;0.2427;0.1121;0.14400000000000002;0.2651;0.94;176.05;5911000000.0;2.22;0.1232
CGAS3;119.0;8.71;15.27;0.906;0.1177;1.245;16.33;5.61;-2.31;7.65;6.5;0.16140000000000002;0.10400000000000001;0.2849;1.754;1.25;14445.4;1032750000.0;6.76;0.23079999999999998
CGAS5;129.0;9.44;16.55;0.982;0.11939999999999999;1.35;17.7;6.08;-2.51;8.12;6.9;0.16140000000000002;0.10400000000000001;0.2849;1.754;1.25;93748.4;1032750000.0;6.76;0.23079999999999998
CGRA3;28.59;4.77;0.68;0.819;0.1186;0.49;1.85;4.47;3.12;3.76;3.22;0.1833;0.17190000000000003;0.1329;0.1433;2.51;13290.0;809426000.0;0.0;0.10679999999999999
CGRA4;28.5;4.75;0.68;0.816;0.1189;0.489;1.85;4.45;3.11;3.74;3.21;0.1833;0.17190000000000003;0.1329;0.1433;2.51;123393.0;809426000.0;0.0;0.10679999999999999
CIEL3;5.26;9.1;1.31;2.295;0.0478;0.124;2.91;10.92;-63.04;7.58;5.4;0.2102;0.252;0.1377;0.1436;1.05;117085000.0;10928600000.0;0.61;-0.18780000000000002
CLSA3;5.74;-12.46;1.46;2.202;0.0;1.17;1.96;-8.02;2.14;-4.69;-5.78;-0.2746;-0.17670000000000002;-0.3513;-0.11699999999999999;5.03;2603120.0;740258000.0;0.1;0.0
CLSC3;48.15;3.53;0.63;0.18;0.0536;0.155;-9.42;2.77;-0.33;4.45;3.15;0.06509999999999999;0.051;0.0696;0.1791;0.95;8617.49;2933340000.0;0.87;0.0953
CLSC4;49.13;3.61;0.65;0.184;0.0673;0.158;-9.61;2.83;-0.34;4.51;3.19;0.06509999999999999;0.051;0.0696;0.1791;0.95;223827.0;2933340000.0;0.87;0.0953
CMIG3;15.54;9.38;1.62;0.979;0.0876;0.628;10.91;7.02;-1.83;8.37;6.77;0.13949999999999999;0.1045;0.10369999999999999;0.17309999999999998;1.27;4459220.0;21073900000.0;0.54;0.1093
CMIG4;10.74;6.48;1.12;0.677;0.1267;0.434;7.54;4.85;-1.26;6.21;5.02;0.13949999999999999;0.1045;0.10369999999999999;0.17309999999999998;1.27;117971000.0;21073900000.0;0.54;0.1093
CMIN3;5.08;9.44;2.45;2.099;0.18309999999999998;1.112;5.6;5.53;-6.89;5.85;4.89;0.38;0.2223;0.2978;0.2589;2.07;38494700.0;11393400000.0;0.74;0.0794
COCE3;57.0;6.93;1.12;0.518;0.0341;0.361;-3.38;3.66;-0.81;7.28;5.45;0.14150000000000001;0.0748;0.1137;0.16190000000000002;0.68;139.02;3956900000.0;1.18;0.1558
COCE5;43.14;5.24;0.85;0.392;0.0451;0.273;-2.56;2.77;-0.61;6.39;4.78;0.14150000000000001;0.0748;0.1137;0.16190000000000002;0.68;3472010.0;3956900000.0;1.18;0.1558
COGN3;2.2;-15.86;0.33;0.844;0.0;0.157;4.4;5.48;-0.51;13.44;7.05;0.1539;-0.0581;0.0323;-0.021;1.24;58874600.0;12389900000.0;0.66;-0.0696
CPFE3;30.65;6.99;2.29;0.893;0.1058;0.535;-33.66;3.9;-0.98;6.02;5.11;0.2291;0.1309;0.155;0.32770000000000005;0.93;60227100.0;15423700000.0;1.53;0.0941
